task,samples_0.8B,samples_4B,4B_errors,F1_0.8B,F1_4B,delta_F1,EM_0.8B,EM_4B,delta_EM,Null_0.8B,Null_4B,4B_thinking,4B_length,4B_max_tokens,4B_nonempty_gold_empty_pred
作者和机构,111,111,0,0.3703803991747413,0.7933155985428713,0.42293519936812995,0.22137404580152673,0.5181818181818182,0.29680777238029143,0.8859649122807017,0.9780701754385965,0,0,188,2
data_type,310,310,0,0.735632183908046,0.86,0.12436781609195402,0.7241379310344828,0.86,0.13586206896551722,0.9581749049429658,0.9885931558935361,0,0,10,4
机构和国家,235,235,0,0.12396694214876033,0.6521739130434783,0.5282069708947179,0.11983471074380166,0.6304347826086957,0.510600071864894,0.5181818181818182,0.9636363636363636,0,0,29,0
时间和if值,235,235,0,0.24104683195592286,0.7272727272727273,0.48622589531680444,0.1928374655647383,0.5545454545454546,0.36170798898071627,0.6935096153846154,0.9975961538461539,0,0,40,9
topic和keywords,183,183,0,0.5018577342347834,0.44058587651902414,-0.06127185771575927,0.35792349726775957,0.28133704735376047,-0.0765864499139991,0.0,0.30434782608695654,0,0,119,54
五类宏平均,1074,1074,0,0.3945768182844508,0.6946696230756202,0.3000928047911694,0.3232215300824618,0.5688998205379459,0.24567829045548395,0.6111662501580202,0.8464487349803214,0,0,188,69
